IndivID,Name,Source,gwasID,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score
106,Kz-1,CS22606,6930,1,22,2,0,36,1,3
107,Ws-2,CS22659,6981,1,22,4,0,27,1,2
108,Santa_Clara,CS8069,7329,1,22,6,0,20,0,0
109,Bay-0,CS22633,6899,1,22,8,0,22,1,1
110,Dem-4,CS76794,8233,1,22,10,1,38,0,1
111,DraIII-1,CS76815,8285,1,23,1,1,38,0,3
112,Kas-2,CS6751,8424,1,23,3,0,41,0,4
113,Uod-1,CS22612,6975,1,23,5,0,28,0,2
114,Tamm-27,CS22605,6969,1,23,7,0,30,0,2
115,Sr:5,CS77268,8386,1,23,9,0,31,0,1
116,Wa-1,CS22644,6978,1,24,2,0,28,1,3
117,Lc-0,CS1307,8323,1,24,4,0,27,0,4
118,Ove-0,CS1435,7287,1,24,6,0,34,0,4
119,Vinslov,CS78847,9057,1,24,8,0,29,0,3
120,Wei-0,CS22622,6979,1,24,10,1,30,1,4
121,Mrk-0,CS22635,6937,1,25,1,1,28,1,2
122,Shahdara,CS22652,6962,1,25,3,0,30,1,3
123,Pro-0,CS22649,8213,1,25,5,0,30,1,2
124,Hi-0,CS1227,8304,1,25,7,0,21,0,1
125,Na-1,CS1385,8343,1,25,9,0,41,1,2
126,Col-0,CS22625,6909,1,26,2,0,32,0,1
127,Uod-7,CS22613,6976,1,26,4,0,27,0,1
128,Got-22,CS22609,6920,1,26,6,0,55,0,2
129,Ag-0,CS22630,6897,1,26,8,0,28,0,2
130,Sq-8,CS22601,6967,1,26,10,1,43,1,3
131,Per-1,CS1445,8354,1,27,1,1,31,1,1
132,Ba1-2,CS76676,8256,1,27,3,0,32,1,2
133,Ws-0,CS22623,6980,1,27,5,0,25,0,1
134,Rubezhnoe-1,CS927,7323,1,27,7,0,29,0,2
135,Lip-0,CS1337,8325,1,27,9,0,41,1,2
136,Lov-1,CS77049,6043,1,28,2,0,19,0,0
137,Cen-0,CS1067,8275,1,28,4,0,36,0,1
138,Sq-1,CS22600,6966,1,28,6,0,37,1,1
139,Lisse,CS6033,8430,1,28,8,0,34,0,2
140,Ra-0,CS22632,6958,1,28,10,1,29,0,3
141,Jm-0,CS1259,8313,1,29,1,1,30,1,2
142,An-1,CS22626,6898,1,29,3,0,33,1,1
143,Yo-0,CS22624,6983,1,29,5,0,31,0,3
144,Tsu-1,CS22641,6972,1,29,7,0,25,0,3
145,Lillo-1,CS77039,8242,1,29,9,0,37,0,2
146,Liarum,CS77038,8241,1,30,2,0,25,0,2
147,LL-0,CS22650,6933,1,30,4,0,36,0,3
148,Hov4-1,CS76936,8306,1,30,6,0,18,0,1
149,En-1,CS76841,8290,1,30,8,0,29,1,1
150,Tu-0,CS1567,8395,1,30,10,1,32,0,2
151,RRS-7,CS22564,7514,1,31,1,1,31,0,3
152,NFA-10,CS22599,6943,1,31,3,0,34,1,1
153,DraII-1,CS76813,8284,1,31,5,0,30,0,3
154,Zu-1,CS78881,7418,1,31,7,0,29,1,1
155,Bur-0,CS22656,5719,1,31,9,0,28,0,2
156,Kz-9,CS22607,6931,1,32,2,0,31,1,1
157,Lund,CS77060,8335,1,32,4,0,14,0,0
